ID,Time,Value_0,Mask_0,Value_1,Mask_1
0.0,92.95362268518518,41.893677,1.0,-87.628016,1.0
0.0,93.02283564814815,41.88915,1.0,-87.639698,1.0
0.0,93.02328703703704,41.890121,1.0,-87.63711,1.0
0.0,93.25153935185186,41.893085,1.0,-87.6379,1.0
0.0,93.25181712962963,41.894738,1.0,-87.63721,1.0
0.0,93.25218749999999,41.890586,1.0,-87.643314,1.0
0.0,93.61901620370371,41.889943,1.0,-87.637016,1.0
0.0,93.62010416666668,41.889044,1.0,-87.639635,1.0
0.0,93.62046296296296,41.889582,1.0,-87.636847,1.0
0.0,93.66130787037036,41.924764,1.0,-87.671952,1.0
0.0,93.66171296296297,41.924844,1.0,-87.676887,1.0
0.0,93.81081018518519,41.935813,1.0,-87.690337,1.0
0.0,93.82569444444444,41.936075,1.0,-87.69352,1.0
0.0,95.6310300925926,41.889943,1.0,-87.637016,1.0
0.0,95.63135416666667,41.889044,1.0,-87.639635,1.0
0.0,95.63158564814815,41.889582,1.0,-87.636847,1.0
0.0,95.67155092592593,41.923609,1.0,-87.746021,1.0
0.0,96.63883101851853,41.889943,1.0,-87.637016,1.0
0.0,96.64016203703704,41.889044,1.0,-87.639635,1.0
0.0,96.65693287037037,41.890384,1.0,-87.633445,1.0
0.0,96.65758101851851,41.890905,1.0,-87.636435,1.0
0.0,96.70581018518517,41.88915,1.0,-87.639698,1.0
0.0,96.70597222222221,41.890586,1.0,-87.643314,1.0
0.0,96.70629629629629,41.891927,1.0,-87.636502,1.0
0.0,98.7424537037037,41.889943,1.0,-87.637016,1.0
0.0,98.74284722222222,41.889044,1.0,-87.639635,1.0
0.0,98.74306712962964,41.889582,1.0,-87.636847,1.0
0.0,99.00597222222223,41.890384,1.0,-87.633445,1.0
0.0,99.00638888888888,41.890384,1.0,-87.633445,1.0
0.0,99.00658564814815,41.890905,1.0,-87.636435,1.0
0.0,99.09133101851852,41.88915,1.0,-87.639698,1.0
0.0,99.09149305555555,41.890586,1.0,-87.643314,1.0
0.0,99.0917013888889,41.890121,1.0,-87.63711,1.0
0.0,99.22560185185186,41.893085,1.0,-87.6379,1.0
0.0,99.22585648148147,41.894738,1.0,-87.63721,1.0
0.0,99.22612268518519,41.890586,1.0,-87.643314,1.0
0.0,99.23202546296297,41.890666,1.0,-87.635698,1.0
0.0,99.23229166666665,41.889919,1.0,-87.637693,1.0
0.0,99.2332175925926,41.890905,1.0,-87.636435,1.0
0.0,99.59311342592594,41.889943,1.0,-87.637016,1.0
0.0,99.5937037037037,41.889044,1.0,-87.639635,1.0
0.0,99.5938888888889,41.889582,1.0,-87.636847,1.0
0.0,99.60039351851852,41.890384,1.0,-87.633445,1.0
0.0,99.60074074074073,41.890384,1.0,-87.633445,1.0
0.0,99.60089120370371,41.890905,1.0,-87.636435,1.0
0.0,99.93199074074074,41.939246,1.0,-87.707661,1.0
0.0,100.00270833333333,41.924608,1.0,-87.742084,1.0
0.0,100.63630787037037,41.890384,1.0,-87.633445,1.0
0.0,100.63684027777778,41.890905,1.0,-87.636435,1.0
0.0,100.66488425925927,41.925045,1.0,-87.677797,1.0
0.0,100.66542824074075,41.924844,1.0,-87.676887,1.0
0.0,100.7734837962963,41.91105,1.0,-87.74318,1.0
0.0,100.81114583333334,41.922777,1.0,-87.746016,1.0
0.0,100.94962962962963,41.890121,1.0,-87.63711,1.0
0.0,101.08855324074074,41.898445,1.0,-87.636063,1.0
0.0,101.19456018518518,41.893085,1.0,-87.6379,1.0
0.0,101.19495370370372,41.894738,1.0,-87.63721,1.0
0.0,101.19513888888889,41.890586,1.0,-87.643314,1.0
0.0,101.58337962962963,41.889943,1.0,-87.637016,1.0
0.0,101.58358796296297,41.889044,1.0,-87.639635,1.0
0.0,101.58378472222222,41.889582,1.0,-87.636847,1.0
0.0,101.59340277777778,41.890384,1.0,-87.633445,1.0
0.0,101.59359953703704,41.890384,1.0,-87.633445,1.0
0.0,101.59377314814814,41.890905,1.0,-87.636435,1.0
0.0,102.02064814814815,41.965805,1.0,-87.708362,1.0
0.0,102.16488425925927,41.889145,1.0,-87.649502,1.0
0.0,102.17996527777778,41.893085,1.0,-87.6379,1.0
0.0,102.1803125,41.894738,1.0,-87.63721,1.0
0.0,102.18052083333333,41.890586,1.0,-87.643314,1.0
0.0,102.58918981481482,41.889943,1.0,-87.637016,1.0
0.0,102.5897337962963,41.889582,1.0,-87.636847,1.0
0.0,102.60850694444444,41.890384,1.0,-87.633445,1.0
0.0,102.6087962962963,41.890384,1.0,-87.633445,1.0
0.0,102.63534722222222,41.890586,1.0,-87.643314,1.0
0.0,102.67575231481482,41.834631,1.0,-87.63417,1.0
0.0,103.20318287037037,41.901921,1.0,-87.628228,1.0
0.0,103.20358796296296,41.903994,1.0,-87.629915,1.0
0.0,103.25627314814814,41.893085,1.0,-87.6379,1.0
0.0,103.25653935185186,41.894738,1.0,-87.63721,1.0
0.0,103.25708333333334,41.889127,1.0,-87.634204,1.0
0.0,103.60400462962963,41.889943,1.0,-87.637016,1.0
0.0,103.60457175925926,41.889044,1.0,-87.639635,1.0
0.0,103.60476851851853,41.889582,1.0,-87.636847,1.0
0.0,103.61425925925926,41.890384,1.0,-87.633445,1.0
0.0,103.61443287037036,41.890384,1.0,-87.633445,1.0
0.0,103.61459490740741,41.890905,1.0,-87.636435,1.0
0.0,103.63619212962963,41.890586,1.0,-87.643314,1.0
0.0,103.68127314814815,41.893085,1.0,-87.6379,1.0
0.0,103.80440972222222,41.903229,1.0,-87.680921,1.0
0.0,103.85862268518518,41.903223,1.0,-87.67795,1.0
0.0,103.95295138888889,41.888485,1.0,-87.635236,1.0
0.0,103.9532175925926,41.888988,1.0,-87.634292,1.0
0.0,103.95975694444445,41.896176,1.0,-87.635794,1.0
0.0,103.96128472222222,41.900233,1.0,-87.637146,1.0
0.0,103.96153935185185,41.910426,1.0,-87.638884,1.0
0.0,103.97116898148148,41.932826,1.0,-87.653207,1.0
0.0,103.97211805555555,41.934976,1.0,-87.653862,1.0
0.0,104.61309027777777,41.889943,1.0,-87.637016,1.0
0.0,104.61371527777777,41.889044,1.0,-87.639635,1.0
0.0,104.61388888888888,41.889582,1.0,-87.636847,1.0
0.0,104.85850694444444,41.890384,1.0,-87.633445,1.0
0.0,104.85864583333334,41.890905,1.0,-87.636435,1.0
0.0,105.61023148148148,41.889943,1.0,-87.637016,1.0
0.0,105.61059027777777,41.889044,1.0,-87.639635,1.0
0.0,105.61077546296296,41.889582,1.0,-87.636847,1.0
0.0,105.62077546296297,41.890905,1.0,-87.636435,1.0
